city,branch_name,address,latitude,longitude
Manila,"Arranque
","1451-53 Soler St., Barangay 305 Zone 210 Sta. Cruz, Manila 1003

",,
Manila,"Binondo Rosario
","560 Don Yujuico Bldg Quintin Paredes St. 027 Barangay 289 Binondo Manila 1006

",,
Manila,"Divisoria Carmen Planas
","866-868 L&J Bldg., Carmen Planas St., Barangay 269 Zone 25 District III, Binondo, Manila 1006
",,
Manila,"Juan Luna Recto
","834 Gopoco Bldg.,Juan Luna Street Corner Recto, Barangay 268, Binondo, Manila 1006

",,
,"Divisoria Elcano","541-543 Elcano St. San Nicolas 026 Brgy 281 Binondo Manila 1006

",,
Manila,"Dewey
","Suite 101 Ermita Center Bldg, 1350 Roxas blvd, Brgy 668 Zone 072 Ermita Manila 1000
",14.5759994,120.9799939
Manila,Malate,"1792 A. Mabini St, Brgy 699 Zone 76, Malate, Manila 1004

",,
Manila,"Taft Quirino Ave
","2151 Taft Avenue, BRGY 709 ZONE 78, Malate, Manila 1004

",,
Manila,"Mabini Echelon","Unit A1 G/F Echelon Tower Condominium, 2100 A. Mabini Street, Brgy 701 Zone 77 District V, Malate, Manila 1004

",14.5668258,120.9865825
Manila,"Taft Avenue
","G/F Unlad Condo, Taft Avenue cor. Gen. Malvar Street, Brgy 696 Zone 76 District V, Malate, Manila 1004

",,
Manila,"Vito Cruz Harrison
","BPI Bldg. Pablo Ocampo cor. Maytubig Streets, Brgy 719 Zone 78 5th District, Malate, Manila 1004

",,
Manila,"Ermita
","G/F Midland Plaza Condominium, M Adriatico St Brgy 669 Zone 72 District V, Ermita Manila 1000

",,
,"Malate Mabini
","1377 A. Mabini corner Sta. Monica Sts., Brgy 668 Zone 72, Ermita, Manila 1000

",,
Manila,"Emita Pedro Gil
","G/F TSPI Bldg. 606 Pedro Gil Street, Brgy 698 Zone 76 Ermita, Manila 1000
",,
Manila,"Intramuros
","G/F BPI Bldg, Muralla Street, Brgy 654 Zone 69 District V, Intramuros, Manila 1002

",,
Manila,"Mabini Pedro Gil
","G/F Nestor Bldg., 1578 A. Mabini St. corner Pedro Gil St., Barangay 669, Ermita, Manila 1000

",,
Manila,"Vito Cruz Taft Ave.
","078 Vito Cruz corner Taft Avenue, Barangay 719 Malate, Manila 1004

",,
Manila,"MH Del Pilar
","M. H. Del Pilar cor. UN Avenue, Brgy 667 Zone 72, Ermita, Manila 1000

",14.5795981,120.9788095
Manila,"UN Avenue
","G/F Globe UN Avenue 669 UN Avenue, Brgy 666, Ermita, Manila 1000

",,
Manila,Broadway,"677 Aurora Blvd., Brgy. Mariana New Manila, Quezon City 1112

",,
Manila,"E. Rodriguez Broadway
","66 Dona Juana Rodriguez Avenue New Manila Brgy Mariana 1112

",14.6222786,121.0266923
